Cidade,Populacao_2010,Populacao_2021,Microrregioes,Mesorregioes,PIB_2010,PIB_2019,PIB_per_capita_2010,PIB_per_capita_2019,IDH_1991,IDH_2000,IDH_2010
Glorinha,6885,8304,Porto Alegre,Metropolitana,291730.0,266839.18,42371.83,32951.24,0.424,0.587,0.714
Minas do Leão,7631,8130,São Jerônimo,Metropolitana,86219.0,198387.45,11298.47,24568.1,0.417,0.547,0.681
Cristal,7280,8121,Pelotas,Sudeste,91590.0,201516.43,12581.02,25161.25,0.433,0.537,0.644
Santana da Boa Vista,8244,8037,Serras de Sudeste,Sudeste,73889.0,209121.07,8962.82,25823.79,0.388,0.553,0.633
Salvador do Sul,6747,7975,Montenegro,Metropolitana,169695.0,282403.41,25151.22,36210.21,0.524,0.665,0.74
Santa Bárbara do Sul,8829,7813,Cruz Alta,Noroeste,263234.0,762260.94,29814.65,95354.13,0.541,0.653,0.725
Paraí,6812,7793,Guaporé,Nordeste,143527.0,315249.24,21069.78,41171.38,0.566,0.678,0.773
Tuparendi,8557,7730,Santa Rosa,Noroeste,137988.0,296942.55,16125.7,37621.0,0.495,0.642,0.728
São Miguel das Missões,7421,7692,Santo Ângelo,Noroeste,189716.0,521125.56,25564.8,67916.79,0.403,0.57,0.667
Boqueirão do Leão,7673,7691,Lajeado-Estrela,Centro Oriental,79804.0,136734.78,10400.66,17725.53,0.452,0.563,0.7
Pedro Osório,7811,7683,Pelotas,Sudeste,105593.0,164407.94,13508.18,21268.82,0.518,0.595,0.678
Paraíso do Sul,7336,7635,Cachoeira do Sul,Centro Oriental,80377.0,169460.77,10956.54,22265.24,0.441,0.557,0.676
Barão do Triunfo,7018,7550,São Jerônimo,Metropolitana,58348.0,143306.47,8314.07,19140.71,0.363,0.482,0.61
Segredo,7421,7465,Santa Cruz do Sul,Centro Oriental,73685.0,130003.79,10294.09,17518.37,0.394,0.53,0.659
Lavras do Sul,7669,7410,Campanha Meridional,Sudoeste,120060.0,249161.14,15655.21,33310.31,0.504,0.629,0.699
Ametista do Sul,7323,7396,Frederico Westphalen,Noroeste,52009.0,135199.0,7102.16,18247.94,0.392,0.539,0.682
Guarani das Missões,8115,7393,Cerro Largo,Noroeste,159411.0,288659.61,19644.01,38299.01,0.471,0.592,0.737
Manoel Viana,7074,7315,Campanha Ocidental,Sudoeste,100888.0,268162.13,14261.85,36739.57,0.41,0.543,0.655
Ibiraiaras,7262,7267,Passo Fundo,Noroeste,133081.0,278649.6,18547.94,38370.92,0.489,0.645,0.724
Coronel Bicaco,7748,7213,Ijuí,Noroeste,147487.0,302720.99,19035.54,41327.1,0.445,0.579,0.665
Amaral Ferrador,6355,7136,Serras de Sudeste,Sudeste,50626.0,120980.27,7966.37,17206.69,0.356,0.507,0.624
Palmitinho,6920,7056,Frederico Westphalen,Noroeste,79192.0,210406.41,11443.88,29815.28,0.413,0.615,0.72
Iraí,8078,7046,Frederico Westphalen,Noroeste,77345.0,206561.08,9574.76,28526.6,0.469,0.595,0.691
Ajuricaba,7255,6951,Ijuí,Noroeste,132823.0,301939.11,18307.8,42986.78,0.498,0.646,0.753
São José do Ouro,6906,6911,Sananduva,Noroeste,158343.0,290571.67,22928.34,41911.39,0.489,0.653,0.755
Hulha Negra,6048,6894,Campanha Meridional,Sudoeste,72553.0,196088.84,11996.12,28938.73,0.386,0.569,0.643
Chuí,5919,6832,Litoral Lagunar,Sudeste,77517.0,381741.17,13096.31,56942.3,0.539,0.654,0.706
Herval,6757,6807,Jaguarão,Sudeste,57418.0,140018.25,8497.53,20527.53,0.443,0.548,0.687
Condor,6552,6766,Ijuí,Noroeste,167682.0,372473.89,25592.43,55156.8,0.473,0.609,0.747
Santa Clara do Sul,5692,6755,Lajeado-Estrela,Centro Oriental,90470.0,296905.06,15894.23,44965.18,0.493,0.612,0.74
Roque Gonzales,7206,6750,Cerro Largo,Noroeste,79677.0,789559.45,11057.07,115314.66,0.448,0.567,0.688
Maquiné,6908,6747,Osório,Metropolitana,57593.0,139248.15,8337.1,20739.97,0.46,0.579,0.682
Ipê,6017,6736,Vacaria,Nordeste,109156.0,222989.33,18141.28,33582.73,0.503,0.615,0.728
Boa Vista do Buricá,6576,6712,Três Passos,Noroeste,102532.0,245849.36,15591.89,36628.33,0.535,0.669,0.762
Erval Seco,7878,6697,Frederico Westphalen,Noroeste,103634.0,229065.92,13154.91,33140.32,0.434,0.538,0.685
Faxinal do Soturno,6672,6651,Restinga Seca,Centro Ocidental,98132.0,218337.02,14708.0,32699.87,0.54,0.643,0.72
Barão de Cotegipe,6529,6616,Erechim,Noroeste,100064.0,244501.49,15326.14,36917.03,0.45,0.633,0.719
Passo do Sobrado,6011,6612,Cachoeira do Sul,Centro Oriental,91883.0,182566.03,15285.89,27936.65,0.483,0.601,0.698
Morro Redondo,6231,6609,Pelotas,Sudeste,60069.0,98355.91,9640.31,14975.02,0.437,0.572,0.702
Sertão Santana,5850,6586,Porto Alegre,Metropolitana,81311.0,281178.38,13899.33,43351.59,0.409,0.577,0.689
Morro Reuter,5680,6570,Gramado-Canela,Metropolitana,90962.0,210314.51,16014.44,32825.74,0.428,0.656,0.743
Formigueiro,6664,6569,Restinga Seca,Centro Ocidental,84747.0,200434.38,12082.54,30077.19,0.454,0.579,0.682
Augusto Pestana,7097,6545,Ijuí,Noroeste,140599.0,320661.29,19810.99,48140.11,0.502,0.635,0.743
