"Posição","Nome","Localidade","1991","2000","2010","Unidade","Multiplicador"
"1","IDH","Novo Tiradentes","0.406","0.538","0.676","",""
"1","IDH","Novo Xingu","0.412","0.585","0.767","",""
"1","IDH","Novo Barreiro","0.368","0.552","0.706","",""
"1","IDH","Osório","0.565","0.671","0.751","",""
"1","IDH","Paim Filho","0.465","0.606","0.706","",""
"1","IDH","Palmares do Sul","0.498","0.609","0.715","",""
"1","IDH","Palmeira das Missões","0.500","0.635","0.737","",""
"1","IDH","Palmitinho","0.413","0.615","0.720","",""
"1","IDH","Panambi","0.537","0.688","0.761","",""
"1","IDH","Pantano Grande","0.444","0.589","0.661","",""
"1","IDH","Paraí","0.566","0.678","0.773","",""
"1","IDH","Paraíso do Sul","0.441","0.557","0.676","",""
"1","IDH","Pareci Novo","0.478","0.660","0.749","",""
"1","IDH","Parobé","0.444","0.600","0.704","",""
"1","IDH","Passa Sete","0.300","0.503","0.622","",""
"1","IDH","Passo do Sobrado","0.483","0.601","0.698","",""
"1","IDH","Passo Fundo","0.589","0.701","0.776","",""
"1","IDH","Paulo Bento","0.407","0.608","0.710","",""
"1","IDH","Paverama","0.387","0.540","0.683","",""
"1","IDH","Pedras Altas","0.372","0.482","0.640","",""
"1","IDH","Pedro Osório","0.518","0.595","0.678","",""
"1","IDH","Pejuçara","0.542","0.650","0.741","",""
"1","IDH","Pelotas","0.558","0.660","0.739","",""
"1","IDH","Picada Café","0.520","0.653","0.758","",""
"1","IDH","Pinhal","0.403","0.628","0.720","",""
"1","IDH","Pinhal da Serra","0.278","0.512","0.650","",""
"1","IDH","Pinhal Grande","0.405","0.566","0.678","",""
"1","IDH","Pinheirinho do Vale","0.375","0.530","0.710","",""
"1","IDH","Pinheiro Machado","0.425","0.584","0.661","",""
"1","IDH","Pirapó","0.391","0.531","0.669","",""
"1","IDH","Piratini","0.408","0.550","0.658","",""
"1","IDH","Planalto","0.444","0.587","0.687","",""
