"Posição","Nome","Localidade","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","Unidade","Multiplicador"
"1.1","Série revisada","Cerrito",,,,,,,,,,,,"52861","55469","60835","74879","78760.29","87327.12","89235.98","94960.18","93777.15","107555.30","R$",1000
"1.1","Série revisada","Cerro Largo",,,,,,,,,,,,"382028","417391","482540","590002","572254.44","583510.45","626560.73","656217.55","734560.64","774031.22","R$",1000
"1.1","Série revisada","Chiapetta",,,,,,,,,,,,"87422","115831","71407","163532","163178.19","180343.55","190457.07","186965.74","212897.35","203792.20","R$",1000
"1.1","Série revisada","Ciríaco",,,,,,,,,,,,"78476","96525","85802","115832","112694.89","115402.93","131086.55","127801.69","148883.48","151032.69","R$",1000
"1.1","Série revisada","Barracão",,,,,,,,,,,,"109024","117743","120258","146184","148429.59","170659.87","213785.64","187338.86","218373.49","208681.77","R$",1000
"1.1","Série revisada","Barra do Rio Azul",,,,,,,,,,,,"27049","28797","27785","37631","42673.24","42200.97","51572.53","46614.89","48894.37","53528.32","R$",1000
"1.1","Série revisada","Coxilha",,,,,,,,,,,,"96160","115834","118593","164859","159703.93","181578.31","208413.61","204225.79","219209.41","220346.10","R$",1000
"1.1","Série revisada","Cruz Alta",,,,,,,,,,,,"1426496","1802054","1841514","2662761","2678501.71","3001548.44","3160653.78","3394710.69","3951837.14","3790617.77","R$",1000
"1.1","Série revisada","Cristal",,,,,,,,,,,,"91590","101221","113275","137586","151949.25","164580.37","166549.94","202597.17","179361.27","201516.43","R$",1000
"1.1","Série revisada","Cruzeiro do Sul",,,,,,,,,,,,"157715","181854","229174","263555","283030.38","301001.98","326836.96","344258.44","357524.82","394504.86","R$",1000
"1.1","Série revisada","Constantina",,,,,,,,,,,,"133239","152372","152427","223111","235113.40","244547.74","268805.53","274345.13","304021.68","324561.16","R$",1000
"1.1","Série revisada","Coronel Bicaco",,,,,,,,,,,,"147487","158024","139631","219544","228473.17","246525.67","306912.14","265175.59","299231.60","302720.99","R$",1000
"1.1","Série revisada","Alegria",,,,,,,,,,,,"46637","55492","46441","74894","83184.72","92561.09","111452.33","100027.39","113666.22","110903.99","R$",1000
"1.1","Série revisada","Cristal do Sul",,,,,,,,,,,,"30002","31484","28976","45576","47885.71","51778.63","56437.59","50782.90","58835.93","66115.61","R$",1000
"1.1","Série revisada","David Canabarro",,,,,,,,,,,,"72400","80899","80284","107209","119065.35","116502.08","128720.11","123620.71","147118.85","142913.12","R$",1000
